ALPHA,K,ALBEDO,MAXINTCPTN,SLA,SLA_RATIO,FRACBB0,FRACBB1,TBB,RHOMIN,RHOMAX,TRHO,COEFFCOND,BLCOND,MAXCOND,MAXAGE,RAGE,NAGE,GROWTHTMIN,GROWTHTMAX,GROWTHTOPT,GROWTHSTART,MINDAYLENGTH,OMEGA_CTEM,RES0CTEM,EPSILON_CTEM,KAPPA,MIN_R0CTEM,MAX_S0CTEM,CN_LEAVES,CN_LITTER,CN_FINE_ROOTS,CN_LIVE_WOODS,CN_DEAD_WOODS,LEAVES_FINERTTOVER,DBHDCMAX,DBHDCMIN,SAP_A,SAP_B,HMAX,DMAX,CRA,CRB,CRC,MINPAREST,R,NSE,MAE
0.0542296,0.519689463,0.172785699,0.391701606,20.70853317,2.130821439,0.401270851,0.127718534,19.99166801,0.582024183,0.659719937,3.997671422,0.058672165,0.117191991,0.020949555,185.4194927,0.750864514,10.0648102,0.262623236,41.09451882,20.05416424,344.3598762,11.35283491,0.471965091,0.215373569,43.48600032,1.999798709,0.078791358,0.576393366,18.29225628,43.5755939,94.77755376,42.00031373,82.85522184,1.00000017,0.957696895,0.188747884,0.865259643,1.879216788,40.88482305,82.04407147,38.43254539,0.032519774,0.72171769,3.643029813,0.137729308,-2.722149812,3.649843206
0.05520585,0.57456721,0.202952587,1.04892809,60.01506581,2.150953019,0.410808045,0.144089474,19.77632636,0.640123545,0.531747788,3.996062779,0.063393067,0.059553004,0.04501711,169.6371747,0.755361292,10.12442304,1.048282559,39.47521207,19.61357855,393.0257452,11.84645467,0.628632591,0.222728344,35.09560366,1.642839285,0.087610045,0.557889124,18.7261471,49.57341283,71.47953429,41.99751805,69.40405095,1.000000573,0.555511696,0.191148192,0.827405978,1.903011222,37.63883025,128.34905,34.24252879,0.046888229,0.748846343,5.240528494,0.30283237,-0.638659923,3.021280488
0.057723971,0.466236978,0.110397769,1.137741739,116.9599438,2.125322204,0.406127846,0.082122911,19.37297092,0.716994474,0.437525809,4.00068195,0.059564208,0.023272922,0.019115621,158.3433133,0.749119235,10.15126726,1.406076354,38.06940534,19.40738625,141.9503313,11.90673058,0.617743315,0.220867222,38.55865804,1.653105738,0.021733082,0.617354451,19.08359578,48.90149086,31.54707277,42.00324587,455.4538908,0.999998808,0.547333797,0.077285959,0.678526917,1.540281531,46.46433388,104.1514845,34.61613163,0.054700165,0.70457969,3.76911604,0.311091848,-195.4818696,3.405
0.057603212,0.694392066,0.140095483,0.60273321,163.7920782,2.515729159,0.379936725,0.175399525,19.95868186,0.658379217,0.724053713,3.999949473,0.062552707,0.037921303,0.044091594,88.29985227,0.75562491,9.86521513,1.514553433,39.36776482,19.8488897,390.8323036,11.11703412,0.810799531,0.225017439,38.71733013,1.986653683,0.144627877,0.618479239,17.80950868,43.53581818,63.1795685,42.00188873,536.7087743,1.000000108,0.241357584,0.1841647,0.562667297,1.605172616,36.83714935,124.759971,34.67982453,0.035619746,1.014573377,4.038472013,-0.52457185,-68.60000235,4.203466899
0.054834308,0.536295042,0.216139574,0.769430171,295.2326646,2.191888156,0.396953654,0.157156009,19.82500611,0.750625597,0.83589361,4.000881242,0.05659436,0.01062599,0.044727362,137.8213728,0.743146178,10.02463782,2.037459285,40.56509059,19.31831116,364.7015398,11.27238337,0.723050204,0.222767989,35.43635696,1.282524669,0.110115296,0.519027112,19.38421403,45.40023403,35.908073,41.99904519,230.194221,0.999999237,1.06952188,0.085010684,0.575624431,2.384684892,51.05755508,81.8520177,34.80272742,0.021865716,1.179627055,3.401260623,-0.04696021,-81.6149513,3.732003484
0.054225728,0.615554907,0.203226099,0.068766144,183.1950603,2.608307872,0.400009184,0.061970703,19.80792533,0.593895294,0.648746029,3.996096661,0.061606376,0.077216268,0.270213755,135.7111134,0.74833706,9.905236757,2.626391335,39.75361237,19.44890246,688.715876,12.08529151,0.594580843,0.224735554,38.07690611,2.142993504,0.148089703,0.623745297,18.29269642,57.14849684,82.04923304,42.00154206,142.4905167,1.000000634,0.611113021,0.136355637,0.939805645,2.543211355,44.71729451,77.03655862,32.69921841,0.042889877,1.125331219,3.518978612,0.194399428,-5.83976135,3.262770035
0.040350491,0.56577069,0.170194558,0.993246527,110.0240161,2.712475573,0.392387553,0.112652833,19.71595588,0.651732184,0.815458643,3.997278399,0.059455392,0.138684054,0.02315085,101.3112344,0.752802591,10.10368542,1.641387306,40.17616999,20.1373572,111.2921989,11.02143699,0.607079608,0.219372195,41.61280324,1.477815952,0.150882778,0.55010452,19.14720054,61.38753138,45.75391141,42.00029682,391.5268971,0.999999583,0.461278633,0.175589057,0.639872799,2.131537973,32.82982071,101.3663416,32.96035381,0.047598882,1.126820091,3.358406572,-0.470947987,-117.2666996,3.926001742
0.059815403,0.627024601,0.209044771,0.568985744,241.2808044,2.195890309,0.407550703,0.130015592,19.65696483,0.627898868,0.635531696,4.003995561,0.060251531,0.022898711,0.076277699,118.964065,0.742228795,10.00223547,2.54639858,40.10743093,19.85010999,298.6533395,12.17624805,0.790595088,0.216559384,40.08036028,1.66505513,0.076517833,0.466653982,17.78875863,44.52014033,44.85957912,42.00489602,279.5154643,1.000000924,0.420734917,0.127077899,0.571838215,2.007657539,38.51298451,112.2370377,36.65748771,0.037308194,1.217858465,4.657389655,-0.045998239,-119.9581362,3.682944251
0.05194484,0.642351471,0.207945405,0.9132379,128.3673205,1.963766875,0.400507481,0.169085547,20.03852516,0.549736207,0.543467832,4.003162782,0.059919306,0.111086501,0.268284123,79.56451072,0.750468703,10.08369065,3.825446041,39.31730127,19.60306247,43.66698567,11.24274339,0.739544014,0.216467528,41.51430133,1.772730561,0.120077387,0.4916409,17.46376509,56.96191341,58.59430686,42.00124067,44.15535355,0.999999591,1.035903621,0.109134243,1.007835565,2.518220483,41.65462235,99.08499726,33.39935383,0.032472056,1.090210357,4.983026563,-0.516654607,-103.2793729,3.949277003
0.045646226,0.630052339,0.210811685,0.178622987,25.49030486,1.931528507,0.399335965,0.133282821,19.95059339,0.641533115,0.560140083,3.99373138,0.061768836,0.161106162,0.115198737,153.5537463,0.747549412,10.02875431,0.141342544,41.09994209,19.37908609,706.848617,11.02227565,0.801000886,0.217260751,40.9919013,1.943718023,0.013582467,0.534218342,18.75652552,62.41258018,72.03876444,41.99726562,324.0000297,0.999999426,0.286153214,0.203451735,0.646351744,1.943196289,40.81761056,97.91135924,34.73333389,0.020426959,1.003311823,3.662715852,-0.079003699,-6.972887385,4.174712544
