ALPHA,K,ALBEDO,MAXINTCPTN,SLA,SLA_RATIO,FRACBB0,FRACBB1,TBB,RHOMIN,RHOMAX,TRHO,COEFFCOND,BLCOND,MAXCOND,MAXAGE,RAGE,NAGE,GROWTHTMIN,GROWTHTMAX,GROWTHTOPT,GROWTHSTART,MINDAYLENGTH,OMEGA_CTEM,RES0CTEM,EPSILON_CTEM,KAPPA,MIN_R0CTEM,MAX_S0CTEM,CN_LEAVES,CN_LITTER,CN_FINE_ROOTS,CN_LIVE_WOODS,CN_DEAD_WOODS,LEAVES_FINERTTOVER,DBHDCMAX,DBHDCMIN,SAP_A,SAP_B,HMAX,DMAX,CRA,CRB,CRC,MINPAREST,R,NSE,MAE
0.070300853,0.587021052,0.087783733,0.074584922,45.37884805,1.987831106,0.391740231,0.581235307,10.0356501,0.432681958,0.35854293,3.964079555,0.100480699,0.009896603,0.004218115,178.2322167,0.499556545,4.058882059,0.823127505,38.91773187,17.52872888,214.7280462,10.04182056,0.508737077,0.133149761,3.991313256,1.487901945,0.087111207,0.591807982,69.92275766,120.0240247,61.45182286,50.46680754,806.1543188,0.380111075,0.125235274,0.316552364,3.211773906,1.220525155,74.78120664,146.334921,65.86079546,0.024151041,6.901654259,6.55433354,0.813788032,0.578658076,0.663799087
0.071815997,0.59650603,0.084423783,0.013942374,121.5524951,2.285354792,0.339482388,0.333804245,10.02030306,0.551024531,0.47613518,3.985773479,0.173303788,0.067732193,0.044061264,189.7612295,0.047467401,3.996920636,1.037241044,30.50729713,18.47823334,518.2903029,11.80278881,0.377645036,0.207314072,6.106381488,1.131238464,0.118343328,0.42536036,66.74052592,113.0653968,18.50715432,61.44674231,705.8692743,0.075733618,0.180897795,0.164367783,4.786025846,1.467588459,62.66599026,173.3366312,53.46811479,0.06328744,5.865695494,3.218816203,-0.673609228,-8.634796956,1.959972603
0.074450505,0.595487634,0.106382694,0.23728936,81.32947039,2.153011654,0.263765212,0.126137857,9.921479389,0.513700926,0.433220909,3.989220781,0.106843528,0.103404258,0.020533086,214.6961216,0.453189263,4.03489034,0.848723759,33.2505006,16.28824822,392.0515741,13.63395723,0.570616575,0.253737039,9.089046659,1.791481279,0.04932426,0.685992643,21.24211572,62.54966141,62.90852461,32.93008643,734.2650487,0.353412389,0.206767653,0.27792688,0.371582712,1.497938222,61.13488801,129.2918382,44.78755787,0.040271931,4.873507238,2.076548861,NA,NA,NA
0.059680589,0.591349787,0.105995149,0.166584381,53.96487868,1.664927313,0.696978582,0.130666302,9.989920795,0.533158577,0.382842049,3.912821201,0.063684326,0.122468661,0.038746183,186.0945764,0.691719232,4.070427501,0.587412816,36.37619408,19.63057895,770.0393402,11.80559998,0.579367258,0.228833582,5.979915287,2.345047414,0.164581969,0.491880605,45.90956848,178.121172,58.40676862,46.68897478,526.2614137,0.02442656,0.288610614,0.045564774,3.54490982,1.636595797,53.07834336,154.6503987,65.08390279,0.070543819,6.241725569,3.540493573,0.873770694,0.574586647,1.397561644
0.070326994,0.613183145,0.059593015,0.014899335,90.92801159,2.125657529,0.438131552,0.355448932,10.03646555,0.441203669,0.350961115,4.001436011,0.103345001,0.049335483,0.089926803,211.8017733,1.209562118,3.920095587,1.31398611,35.60261202,17.49074575,505.9838142,11.57382436,0.502563303,0.260272463,7.103018548,1.273455649,0.190057518,0.599875076,27.59292613,132.4191478,38.95307899,54.49300277,712.5918367,0.189682549,0.065975285,0.128944411,1.951615504,1.507632185,51.08453071,116.7342571,60.68355769,0.076372829,5.343472483,6.354718562,0.791626333,0.198389432,0.67909589
0.071269743,0.595967544,0.121269548,0.104149889,103.0535946,1.674735194,0.699434319,0.084465504,9.948828919,0.457041394,0.433656204,3.88894053,0.097776998,0.079229587,0.06848051,211.8740901,1.289861421,4.096758314,0.837405006,33.48352837,20.02855986,320.7681275,11.38527351,0.166785728,0.163677033,7.019480284,0.482917854,0.073565921,0.486087587,85.170675,63.44504586,54.94019201,61.76081425,517.0353771,0.080298829,0.114651207,0.16491771,3.409514583,1.647882863,56.39738403,122.7220821,64.34660112,0.12075896,4.34370336,1.11373882,0.863590253,0.690546108,0.861150685
0.067473061,0.559488855,0.099252031,0.279385768,97.71320986,2.342248907,0.343969196,0.365377917,9.997170743,0.303411133,0.411722402,3.955657642,0.140122177,0.074283365,0.137767993,233.0760135,1.372021104,4.079885318,1.151977528,35.41690911,19.35710993,725.3057654,11.3657222,0.515868418,0.144365238,4.362045604,0.248590871,0.096294383,0.579804346,50.14804269,128.1757101,37.76985767,54.93819554,341.1194794,0.328942789,0.248015858,0.123781327,2.476312958,1.121554799,45.99927599,137.3213297,49.93848966,0.075237518,4.894085493,2.156471727,0.725411522,0.161224061,0.809041096
0.068183574,0.570804486,0.09611442,0.069605067,67.44228842,1.622382091,0.197743812,0.135723945,9.939062953,0.413156714,0.490544244,3.948553854,0.141122147,0.046731488,0.054888067,202.2369768,0.979349565,3.901601765,0.447641093,37.89357562,20.6777808,129.2441015,12.12510756,0.843538604,0.165474851,4.09526492,1.796928078,0.21344772,0.559370319,62.74933343,48.69429917,47.70482125,49.5158234,817.8756066,0.001088189,0.163527886,0.217771229,0.216440287,1.275051802,43.58383759,144.0861066,59.18586136,0.07763206,4.301409727,7.471553092,NA,NA,NA
0.073534667,0.480856902,0.095076695,0.233503542,81.06233328,1.85929586,0.287762706,0.37094408,9.989884659,0.423698773,0.401414253,3.91442583,0.015096676,0.020146018,0.064112139,153.3924317,1.041745224,4.070057707,1.425866499,30.7650582,16.75774839,260.0166407,12.62898164,0.46870342,0.276388534,6.703147164,1.606078378,0.050215043,0.710686733,63.0654303,132.3407856,38.6196066,45.58199287,598.0482703,0.216666403,0.245351372,0.250888524,3.794674068,1.230382514,59.83834736,171.891055,53.69250358,0.054316255,5.9095209,3.171090921,0.863223222,0.571314174,1.406694064
0.072483929,0.536491052,0.098988211,0.026431627,114.7356162,1.713565612,0.368004252,0.078830286,10.06333849,0.407687878,0.461912627,4.002722392,0.060843859,0.015017241,0.006022973,212.8169799,1.221639822,3.912180446,0.143236052,34.94495335,20.27554905,227.615305,13.8650951,0.618599497,0.182817433,3.511217735,1.302241637,0.037923678,0.437973874,59.53630399,17.15153935,33.76424842,63.70051148,625.8576981,0.038257626,0.102606099,0.151466246,2.262692366,1.515164761,42.67131443,157.6826738,55.87568245,0.031200706,6.041705852,5.864179899,0.861252245,0.653224029,0.920410959
