ALPHA,K,ALBEDO,MAXINTCPTN,SLA,SLA_RATIO,FRACBB0,FRACBB1,TBB,RHOMIN,RHOMAX,TRHO,COEFFCOND,BLCOND,MAXCOND,MAXAGE,RAGE,NAGE,GROWTHTMIN,GROWTHTMAX,GROWTHTOPT,GROWTHSTART,MINDAYLENGTH,OMEGA_CTEM,RES0CTEM,EPSILON_CTEM,KAPPA,MIN_R0CTEM,MAX_S0CTEM,CN_LEAVES,CN_LITTER,CN_FINE_ROOTS,CN_LIVE_WOODS,CN_DEAD_WOODS,LEAVES_FINERTTOVER,DBHDCMAX,DBHDCMIN,SAP_A,SAP_B,HMAX,DMAX,CRA,CRB,CRC,MINPAREST,R,NSE,MAE
0.069668511,0.657529314,0.0845471,0.18554755,114.6342348,2.412972243,0.753727526,0.414131092,9.982391078,0.379877204,0.5106657,4.077692135,0.04651273,0.060642533,0.098473571,180.9149377,1.009774043,4.036718667,0.489173349,35.08362828,17.27415034,251.9610488,12.12960934,0.466371746,0.219050488,2.393346046,0.760815592,0.079126988,0.431262424,68.40574141,139.9843897,32.26126522,50.28685733,197.6524817,0.331230371,0.128633837,0.158482696,1.044626865,1.180190392,49.44214044,155.5279889,57.5434068,0.099669144,5.863924499,1.05445876,0.680677862,0.380190024,2.080412169
0.067137468,0.502812645,0.115939048,0.054382132,62.22484513,1.60905134,0.68766603,0.163805541,9.963832283,0.442916384,0.459435446,3.980626194,0.074260988,0.06193975,0.050244224,203.3034432,1.444062958,4.018450944,0.077856017,38.23298213,19.67717057,441.8405463,12.57251255,0.719039738,0.20317991,6.671707853,1.558109642,0.107376823,0.554964218,53.65687159,129.8687379,39.77795012,65.72768673,652.9954319,0.21876284,0.177788401,0.018805127,4.50696699,1.44308481,52.26846396,159.3638817,46.31872473,0.04420012,5.565179505,1.566352547,0.680677862,0.380190024,2.080412169
0.070083953,0.540000986,0.126691551,0.198380372,92.63286656,2.231231306,0.236952191,0.307271391,10.05615766,0.373843018,0.425017232,4.034608577,0.078554238,0.043101523,0.020290165,223.6971572,1.007601213,3.977406284,0.98702383,35.13886517,17.7682846,238.9420607,11.37883795,0.683162697,0.255056059,3.897808323,1.829369701,0.105863246,0.503414516,77.01970317,151.9864636,42.91719183,61.60065407,647.6255918,0.04560574,0.166927885,0.166713341,2.833819947,1.655963436,54.083573,158.4288001,71.20602191,0.090197241,5.605078877,4.929156306,0.633379979,0.381074897,1.643424926
0.06801377,0.58578391,0.114013088,0.20092212,78.81082355,2.341558499,0.188682918,0.385713167,10.03361476,0.495364865,0.456647352,4.077779438,0.05232806,0.077786754,0.110841404,234.468611,0.771138856,4.065875047,2.646244632,38.40826159,17.40840885,338.2303006,11.28865519,0.469740931,0.284827835,3.759131676,1.670351917,0.105852345,0.402629841,61.44479626,133.7483991,67.18482437,53.53932599,711.6964871,0.285594741,0.157064381,0.073586943,6.244679792,1.530995074,54.68519625,174.1825181,61.24960184,0.102454873,6.548373361,5.397139942,0.608717385,0.337113706,1.539371933
0.068135628,0.58971604,0.093888133,0.097268522,91.43847839,1.726835947,0.330649303,0.042474883,9.919568744,0.467565065,0.388924856,3.969815977,0.160773512,0.122180414,0.007553891,184.4543817,0.738096435,3.87125117,0.849747333,34.18720366,19.44114732,459.1535055,12.25585746,0.556248561,0.293958366,3.8301961,1.11876403,0.079568387,0.489301658,83.14377961,88.47213411,53.13944506,54.00417036,615.3370384,0.321347523,0.09128906,0.140192046,5.767096681,1.38040946,42.69236671,161.9100958,63.6928161,0.077024038,6.151413398,3.854834619,0.518255374,-1.524820716,1.596368989
0.070579469,0.523546384,0.081768888,0.080069181,111.2196924,1.918433455,0.613903991,0.104155011,10.04533353,0.404385284,0.450539227,4.108615408,0.151667588,0.056725298,0.038282346,187.4570698,0.87812778,3.901772573,0.11127674,35.85105601,20.74838318,182.6518685,10.66415691,0.505800014,0.235848017,5.153582804,2.131919919,0.043295435,0.571370323,46.12629245,123.4742887,53.02226657,53.04151395,606.870924,0.236417615,0.169379015,0.213061417,0.874108705,1.615490464,40.24579886,153.7933646,59.16226081,0.067850244,4.829907613,5.77456123,0.644333112,0.250319263,1.375682041
0.064593603,0.551286503,0.125128387,0.144464582,119.4430008,2.045849143,0.178557786,0.356499667,10.02335023,0.524508766,0.429480684,3.959409022,0.105483656,0.103343865,0.003226469,216.5952493,1.043450532,3.957893268,2.898388687,36.65915565,15.23018649,325.1475455,12.17005171,0.301292126,0.168397769,1.718218423,1.715797882,0.072393617,0.539840793,73.53432166,143.1676958,38.83732417,65.45131781,811.549774,0.301360341,0.09304443,0.158450031,6.312307537,1.73971812,50.89300314,126.3350936,65.6844441,0.050724135,5.023747433,3.659913858,0.522320256,-0.095009928,1.455632974
0.069054681,0.583560392,0.092800047,0.136949725,74.70350942,2.309005039,0.385529605,0.387853321,9.984600531,0.489167806,0.423433615,4.022467583,0.024449945,0.053229892,0.0799717,223.8975202,0.193543634,4.015402402,0.390804037,34.00488813,19.29034026,483.6194608,11.97931492,0.555712412,0.16520234,4.088426873,1.684342151,0.050252467,0.704484407,57.54951833,47.31565139,35.62304084,47.2092564,534.2835507,0.165277605,0.167171537,0.235579317,4.539933984,1.432344931,52.82532948,113.7269613,40.19904086,0.104178293,5.325072752,3.133284117,0.563820698,-0.495952636,1.621236506
0.069167779,0.553341648,0.102062586,0.085468326,112.7089786,2.038457422,0.416577628,0.254186481,9.950439226,0.383586502,0.422830663,4.048682394,0.001837434,0.068661974,0.099382567,202.7515738,0.69360501,4.02678044,0.633285847,34.10102421,13.84371661,580.101001,12.80966224,0.420693882,0.22306206,0.823860068,1.554011071,0.089279254,0.518679832,55.72047674,113.5848166,63.49553148,57.65498413,599.1568845,0.064040288,0.284038319,0.176300841,1.199352036,1.371020202,48.04574727,143.0605796,47.91257028,0.055811465,5.260055421,4.896650964,0.634242965,0.365523542,1.573532875
0.065157109,0.588544804,0.113418128,0.218326413,118.88872,2.513677491,0.33806654,0.241738661,10.00348337,0.399640187,0.403122132,4.045474549,0.138929328,0.018915366,0.031628176,184.5193339,0.013307385,4.00492387,2.747347986,35.29387307,13.59124693,373.143305,12.20833488,0.480738995,0.134109163,5.177811217,2.007191101,0.076514858,0.398433035,39.36235586,115.8784532,42.74003595,52.99453525,349.3667003,0.16113159,0.133476151,0.256329548,3.942650123,1.440878274,37.48210231,171.7956162,51.46823401,0.071065444,5.738587135,7.422892221,-0.435909584,-18.58338923,3.009823356
